2024-11-18T18:17:36.720+0545	DEBUG	hyprls/main.go:25	going to start server
2024-11-18T18:17:36.721+0545	DEBUG	hyprls@v0.2.0/main.go:18	starting server
2024-11-18T18:18:08.810+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":2},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1920x1080,auto,1,bitdepth,8\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:13.564+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":3},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1"}]}}
2024-11-18T18:18:15.302+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":4},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\n"}]}}
2024-11-18T18:18:15.868+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":5},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nmonitor=,1920x1080,auto,1,bitdepth,8\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:20.948+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":6},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nmonitor=,1920x1080,auto,1,\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:22.683+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":7},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\nmonitor=,1920x1080,auto,1,\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:27.034+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":8},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\n\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:27.466+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":9},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:18:47.104+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":2},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1366x768.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:19:10.857+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":10},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
